molecule_chembl_id,IC50,units,smiles,pIC50
CHEMBL506605,130.0,nM,CN1C(=O)[C@@H](c2cc(Cl)c(O)c(Cl)c2)NC(=O)[C@@H]2NC(=O)[C@@H](c3cc(Cl)c(O)c(Cl)c3)NC(=O)[C@H](NC(=O)C(=O)c3cc(Cl)c(O)c(Cl)c3)Cc3c[nH]c4cc(ccc34)-c3cc2cc(c3O)Oc2ccc(cc2)C[C@H]1C(=O)N[C@@H](C(=O)O)c1ccc(O)cc1,6.886056647693163
CHEMBL525803,130.0,nM,CN1C(=O)[C@@H](c2cc(Cl)c(O)c(Cl)c2)NC(=O)[C@@H]2NC(=O)[C@@H](c3cc(Cl)c(O)c(Cl)c3)NC(=O)[C@H](NC(=O)C(=O)c3cc(Cl)c(O)c(Cl)c3)Cc3c[nH]c4c(cccc34)-c3cc2cc(c3O)Oc2ccc(cc2)C[C@H]1C(=O)N[C@@H](C(=O)O)c1ccc(O)cc1,6.886056647693163
CHEMBL3143464,130.0,nM,CC(=O)CC(O)(C(=O)N[C@@H]1Cc2c[nH]c3cc(ccc23)-c2cc3cc(c2O)Oc2ccc(cc2)C[C@@H](C(=O)N[C@@H](C(=O)O)c2ccc(O)cc2)N(C)C(=O)[C@@H](c2cc(Cl)c(O)c(Cl)c2)NC(=O)[C@@H]3NC(=O)[C@@H](c2cc(Cl)c(O)c(Cl)c2)NC1=O)c1cc(Cl)c(O)c(Cl)c1,6.886056647693163
CHEMBL1852155,210.0,nM,C=C1CN(S(=O)(=O)c2ccc(C)cc2)CCCN(Cc2ccccc2)CCCN(S(=O)(=O)c2ccc(C)cc2)C1,6.6777807052660805
CHEMBL1819181,330.0,nM,C=C1CN(S(=O)(=O)c2ccc(C)cc2)CCCN(Cc2ccccc2)CCCN(S(=O)(=O)c2ccc(C)cc2)C1.Cl,6.481486060122113
CHEMBL4783030,2810.0,nM,C=C1CN(S(=O)(=O)c2ccc(C)cc2)CCc2cccc(n2)CCN(S(=O)(=O)c2ccc(C)cc2)C1,5.55129368009492
CHEMBL4755141,860.0,nM,C=C1CN(S(=O)(=O)c2ccc(C)cc2)CCc2cc(CC)cc(n2)CCN(S(=O)(=O)c2ccc(C)cc2)C1.Cl,6.0655015487564325
CHEMBL4783761,950.0,nM,C=C1CN(S(=O)(=O)c2ccc(C)cc2)CCc2cc(C(C)(C)C)cc(n2)CCN(S(=O)(=O)c2ccc(C)cc2)C1.Cl,6.022276394711152
CHEMBL4750160,9300.0,nM,Br.C=C1CN(S(=O)(=O)c2ccc(C)cc2)CCc2cc(O)cc(n2)CCN(S(=O)(=O)c2ccc(C)cc2)C1,5.031517051446065
CHEMBL4743003,1880.0,nM,C=C1CN(S(=O)(=O)c2ccc(C)cc2)CCc2cc(OC)cc(n2)CCN(S(=O)(=O)c2ccc(C)cc2)C1.Cl,5.72584215073632
CHEMBL4782080,1500.0,nM,C=C1CN(S(=O)(=O)c2ccc(C)cc2)CCc2cc(OCC)cc(n2)CCN(S(=O)(=O)c2ccc(C)cc2)C1.Cl,5.823908740944319
CHEMBL4746252,420.0,nM,C=C1CN(S(=O)(=O)c2ccc(C)cc2)CCc2cc(OCc3ccccc3)cc(n2)CCN(S(=O)(=O)c2ccc(C)cc2)C1.Cl,6.376750709602099
CHEMBL4747494,130.0,nM,C=C1CN(S(=O)(=O)c2ccc(C)cc2)CCc2cc(OCC3CCCCC3)cc(n2)CCN(S(=O)(=O)c2ccc(C)cc2)C1.Cl,6.886056647693163
CHEMBL4758659,830.0,nM,C=C1CN(S(=O)(=O)c2ccc(C)cc2)CCc2cc(CCC)cc(n2)CCN(S(=O)(=O)c2ccc(C)cc2)C1.Cl,6.080921907623926
CHEMBL4750983,540.0,nM,C=C1CN(S(=O)(=O)c2ccc(C)cc2)CCc2cc(CCCC)cc(n2)CCN(S(=O)(=O)c2ccc(C)cc2)C1.Cl,6.267606240177032
CHEMBL4786809,660.0,nM,C=C1CN(S(=O)(=O)c2ccc(C)cc2)CCc2cc(CC(C)C)cc(n2)CCN(S(=O)(=O)c2ccc(C)cc2)C1.Cl,6.180456064458132
CHEMBL4748787,740.0,nM,C=C1CN(S(=O)(=O)c2ccc(C)cc2)CCc2cc(-c3ccccc3)cc(n2)CCN(S(=O)(=O)c2ccc(C)cc2)C1.Cl,6.130768280269024
CHEMBL4785236,1670.0,nM,C=C1CN(S(=O)(=O)c2ccc(C)cc2)CCc2cc(C)cc(n2)CCN(S(=O)(=O)c2ccc(C)cc2)C1.Cl,5.777283528852417
CHEMBL4791666,220.0,nM,C=C1CN(S(=O)(=O)c2ccc(N(C)C)cc2)CCc2cc(CC)cc(n2)CCN(S(=O)(=O)c2ccc(N(C)C)cc2)C1.Cl,6.657577319177793
CHEMBL5589596,1.2,nM,CCn1c(C)nc2c(F)cc(-c3nc(Nc4ccc(CNC(=O)CCCCCCC(=O)NO)cc4)ncc3F)cc21,8.920818753952375
